01_prenom,02_genre,03_nom,04_age,05_niveau,06_attaque,07_defense,08_physique,09_technique,10_endurance,11_forme
diya,m,MONTANEZ,17,Junior,32,39,48,61,50,67
djamila,f,STOCK,12,Junior,57,43,83,89,75,62
dmitri,m,REDD,14,Junior,97,33,36,34,96,67
dmitrii,m,WILLINGHAM,13,Junior,59,41,76,41,82,37
dmitriy,m,REDMAN,35,Adulte,58,92,73,59,54,66
dmitry,m,ZAMBRANO,18,Adulte,91,50,90,88,46,40
dobrogost,m,GAFFNEY,15,Junior,95,31,56,97,46,78
dobromil,m,HERR,31,Adulte,80,65,43,43,60,82
dodie,f,SCHUBERT,14,Junior,94,73,64,46,48,66
doina,f,DEVLIN,35,Adulte,45,49,66,49,31,52
doireann,f,PRINGLE,13,Junior,89,71,39,65,81,96
dollie,f,HOUCK,32,Adulte,43,54,81,67,89,84
dolly,f,CASPER,10,Junior,96,44,39,69,81,86
dolores,f,REES,31,Adulte,99,59,66,100,60,59
dolph,m,WING,13,Junior,37,92,45,74,95,42
dom,m,EBERT,21,Adulte,42,70,80,63,89,70
domen,m,JETER,33,Adulte,76,96,54,91,36,44
domenica,f,CORNEJO,26,Adulte,36,52,75,93,88,70
domenico,m,GILLETTE,21,Adulte,38,57,75,60,33,86
domhnall,m,SHOCKLEY,28,Adulte,32,36,86,63,54,83
dominga,f,AMATO,13,Junior,50,99,45,88,72,66
domingo,m,GIRARD,12,Junior,84,94,87,47,83,83
domingos,m,LEGGETT,34,Adulte,43,71,49,45,48,87
dominic,m,CHEATHAM,30,Adulte,99,99,36,87,81,81
dominica,f,BUSTOS,15,Junior,68,57,47,80,86,51
dominick,m,EPPERSON,35,Adulte,55,65,93,55,32,64
dominik,m,DUBOSE,18,Adulte,100,100,92,53,78,36
dominika,f,SEITZ,13,Junior,53,68,80,64,62,53
dominique,f,FRIAS,14,Junior,55,35,91,82,77,99
domitilla,f,EAST,22,Adulte,98,56,42,92,73,89
domonkos,m,SCHOFIELD,23,Adulte,39,38,82,50,37,54
don,m,STEEN,28,Adulte,72,31,100,67,35,90
dona,f,ORLANDO,15,Junior,93,75,43,32,96,42
donagh,m,MYLES,23,Adulte,66,79,80,70,55,100
donal,m,CARON,30,Adulte,82,78,46,49,48,56
donald,m,GREY,28,Adulte,63,38,99,64,62,39
donalda,f,DENNEY,10,Junior,95,64,63,60,87,58
donaldina,f,ONTIVEROS,14,Junior,60,73,33,30,31,90
donar,m,BURDEN,18,Adulte,65,63,79,45,52,96
donát,m,JAEGER,33,Adulte,93,97,76,62,54,79
donat,m,REICH,33,Adulte,86,39,59,83,93,73
donata,f,WITHERSPOON,20,Adulte,58,46,75,72,35,54
donatella,f,NAJERA,14,Junior,50,35,56,92,85,64
donatello,m,FRANTZ,31,Adulte,41,41,40,59,98,39
donatien,m,HAMMONDS,25,Adulte,49,55,35,80,66,33
donatienne,f,XU,13,Junior,36,88,78,45,68,95
donato,m,LEAVITT,21,Adulte,90,52,47,82,86,86
donella,f,GILCHRIST,12,Junior,78,83,70,47,41,94
donelle,f,ADAM,24,Adulte,91,46,97,83,66,60
dong,m,BARONE,20,Adulte,86,56,94,90,96,82
donna,f,FORMAN,29,Adulte,68,98,37,39,44,92
donnchadh,m,CEJA,12,Junior,97,81,64,79,73,83
donnie,m,RAGSDALE,13,Junior,30,61,83,43,60,44
donny,m,SISK,18,Adulte,31,78,57,70,100,76
donovan,m,TUBBS,33,Adulte,58,55,73,50,47,92
dóra,f,ELIZONDO,15,Junior,54,73,46,55,62,100
dora,f,PRESSLEY,16,Junior,76,53,84,68,85,53
doran,m,BOLLINGER,32,Adulte,92,87,50,66,80,92
dorcas,f,LINN,16,Junior,99,51,99,55,88,37
dorean,f,HUNTLEY,24,Adulte,55,30,98,43,62,57
doreen,f,DEWEY,35,Adulte,97,90,88,72,47,31
dores,f,GEARY,17,Junior,57,44,73,51,85,70
dorete,f,CARLOS,25,Adulte,66,63,80,79,70,88
doretta,f,RAGLAND,15,Junior,44,73,77,58,41,88
dorian,m,MIXON,27,Adulte,37,72,90,65,51,48
doriane,f,MCARTHUR,27,Adulte,82,88,57,75,38,61
doriano,m,BAUGH,19,Adulte,48,84,43,73,48,83
dorika,f,TAM,22,Adulte,36,44,81,99,33,89
dorinda,f,NOBLES,33,Adulte,93,89,31,90,74,78
doris,f,CLEVENGER,11,Junior,85,30,69,36,92,72
dorit,f,LUSK,21,Adulte,90,69,34,55,52,62
dorita,f,FOUST,26,Adulte,85,43,95,78,75,75
dorofei,m,COONEY,19,Adulte,71,67,76,84,98,64
doron,m,TAMAYO,29,Adulte,64,42,79,37,89,80
dorota,f,ROBERT,34,Adulte,53,55,39,43,52,42
dorotea,f,LONGO,33,Adulte,44,32,53,99,50,45
dorotéia,f,OVERSTREET,19,Adulte,58,96,97,31,48,100
dorothea,f,OGLESBY,19,Adulte,47,79,77,56,59,50
dorothée,f,MACE,28,Adulte,32,93,54,71,53,43
dorotheos,m,CHURCHILL,18,Adulte,93,81,45,45,71,44
dorothy,f,MATSON,15,Junior,33,87,42,78,76,46
dorottya,f,HAMRICK,26,Adulte,46,45,31,72,87,64
dorris,f,ROCKWELL,23,Adulte,81,92,74,78,42,78
dortha,f,TRAMMELL,11,Junior,49,49,36,59,81,68
dorthy,f,WHEATLEY,25,Adulte,65,73,34,97,44,67
doru,m,CARRINGTON,19,Adulte,65,88,47,46,83,60
dory,f,FERRARO,14,Junior,64,76,72,67,33,73
dosia,f,RALSTON,22,Adulte,98,42,44,43,53,92
dot,f,CLANCY,15,Junior,37,99,99,58,100,54
dottie,f,MONDRAGON,30,Adulte,58,42,53,79,38,76
dotty,f,CARL,21,Adulte,42,36,86,54,87,86
doug,m,HU,33,Adulte,32,61,79,96,52,100
dougal,m,HOPSON,34,Adulte,45,98,53,37,91,34
douglas,m,BREAUX,31,Adulte,68,95,84,38,94,46
dov,m,MCCURDY,29,Adulte,50,80,82,99,38,43
dovid,m,MARES,12,Junior,42,39,97,88,47,34
doyle,m,MAI,31,Adulte,93,61,72,69,52,93
draco,m,CHISHOLM,17,Junior,83,63,73,44,99,83
dragan,m,MATLOCK,20,Adulte,48,93,88,76,85,67
dragana,f,AIKEN,29,Adulte,72,71,82,31,87,81
dragica,f,CARY,17,Junior,55,44,98,90,30,41
dragomir,m,LEMONS,10,Junior,74,96,71,57,39,61
dragos,m,ANGUIANO,14,Junior,64,55,30,87,76,88
drake,m,HERRICK,34,Adulte,64,78,93,32,31,67
draven,m,CRAWLEY,24,Adulte,54,83,56,48,69,97
dreda,f,MONTERO,19,Adulte,91,40,39,100,83,91
drew,m,HASSAN,32,Adulte,80,58,59,34,47,94
drina,f,ARCHULETA,34,Adulte,73,62,53,44,52,86
driscoll,m,FARIAS,34,Adulte,36,49,46,48,90,45
driskoll,m,COTTER,34,Adulte,45,34,63,76,42,33
drogo,m,PARRIS,17,Junior,98,71,99,65,82,68
drummond,m,FELDER,29,Adulte,91,67,92,92,41,69
drusilla,f,LUU,31,Adulte,31,62,37,42,83,62
drystan,m,PENCE,16,Junior,79,97,84,96,88,40
dua,f,GILMAN,16,Junior,42,82,58,58,66,33
duana,f,KILLIAN,34,Adulte,39,48,62,49,31,50
duane,m,NARANJO,27,Adulte,71,59,99,94,30,72
duarte,m,DUGGAN,10,Junior,71,81,48,34,40,92
dubaku,m,SCARBOROUGH,24,Adulte,79,96,64,84,81,76
dubhghall,m,SWANN,10,Junior,45,79,59,98,34,63
dubhghlas,m,EASTER,15,Junior,33,39,90,88,92,33
duc,m,RICKETTS,20,Adulte,97,69,50,97,59,82
duci,f,FRANCE,12,Junior,99,34,56,90,87,87
dudel,m,BELLO,19,Adulte,37,95,56,55,69,36
dudley,m,NADEAU,18,Adulte,64,93,56,93,59,40
duff,m,STILL,15,Junior,67,31,33,62,75,90
dugald,m,RINCON,25,Adulte,63,43,35,78,76,83
duha,f,CORNWELL,18,Adulte,46,86,63,34,53,42
duilio,m,SLADE,26,Adulte,89,46,69,31,72,61
duke,m,FIERRO,33,Adulte,80,36,55,43,91,48
dulcibella,f,MIZE,34,Adulte,98,53,71,55,87,71
dulcie,f,CHRISTIANSON,34,Adulte,53,66,42,64,35,44
duleep,m,GREENFIELD,24,Adulte,53,36,54,69,62,67
dumitru,m,MCAFEE,34,Adulte,33,55,100,77,88,74
duncan,m,LANDRUM,28,Adulte,60,62,93,99,63,85
dung,m,ADAME,16,Junior,69,80,100,71,96,49
dunja,f,DINH,18,Adulte,50,55,56,89,96,87
dunstan,m,LANKFORD,12,Junior,91,42,34,36,71,43
dunya,f,LEWANDOWSKI,25,Adulte,42,61,57,39,88,63
dunyasha,f,RUST,26,Adulte,36,64,56,88,36,91
duong,m,BUNDY,13,Junior,100,31,61,66,47,34
durand,m,WATERMAN,17,Junior,93,30,48,80,96,66
durga,f,MILNER,33,Adulte,83,38,91,59,92,38
durward,m,MCCRARY,16,Junior,39,36,76,86,59,47
dusan,m,HITE,15,Junior,88,80,89,76,63,81
dustin,m,CURLEY,10,Junior,98,85,70,97,75,50
dusty,m,DONALD,14,Junior,91,31,88,100,92,38
duygu,m,DUCKWORTH,10,Junior,66,34,31,40,56,67
dvorah,f,CECIL,20,Adulte,52,58,93,38,34,77
dwayne,m,CARRERA,32,Adulte,33,30,52,65,47,61
dwight,m,SPEER,25,Adulte,51,40,89,93,52,91
dwyn,m,BIRCH,20,Adulte,44,97,92,46,42,69
dyan,f,DENSON,12,Junior,72,91,54,100,67,42
dylan,m,BECKWITH,29,Adulte,58,67,52,71,83,83
dylis,f,STACK,35,Adulte,100,71,56,94,42,67
dymphna,f,DURANT,17,Junior,48,39,37,43,56,87
dympna,f,LANTZ,29,Adulte,99,72,74,84,40,87
éabha,f,DORMAN,13,Junior,53,100,59,100,45,91
eachann,m,CHRISTMAN,18,Adulte,35,41,46,39,48,46
eadan,f,SPANN,11,Junior,61,48,87,40,49,47
éadaoin,f,MASTERSON,21,Adulte,62,40,74,52,88,62
eadbhárd,m,HOSTETLER,22,Adulte,65,75,36,72,82,74
eadburga,f,KOLB,34,Adulte,95,41,69,39,77,33
eadwig,m,BRINK,33,Adulte,62,62,54,44,50,85
ealasaid,f,SCANLON,28,Adulte,100,86,83,50,33,71
ealdgyð,f,NYE,25,Adulte,66,76,33,87,37,47
ealisaid,f,WYLIE,34,Adulte,34,66,89,82,98,48
eallair,m,BEVERLY,23,Adulte,65,88,30,95,75,59
eamon,m,WOO,16,Junior,51,89,91,92,41,55
éamonn,m,SPURLOCK,12,Junior,48,51,31,36,65,49
ean,m,SOMMER,17,Junior,42,47,54,47,81,47
eanraig,m,SHELBY,19,Adulte,71,61,78,57,81,52
earl,m,REINHARDT,12,Junior,36,67,77,99,46,38
earle,m,ROBLEDO,26,Adulte,33,98,33,76,61,78
earleen,f,BERTRAND,26,Adulte,60,42,82,69,70,66
earlene,f,ASHTON,15,Junior,53,40,73,51,88,53
earline,f,CYR,24,Adulte,34,84,78,52,91,66
earnest,m,EDGAR,25,Adulte,73,58,84,81,86,41
earnestine,f,DOE,19,Adulte,93,74,58,53,76,64
eartha,f,HARKINS,19,Adulte,35,46,85,88,58,91
easter,m,BRUBAKER,18,Adulte,55,92,69,82,52,39
eavan,f,STOLL,30,Adulte,50,51,62,59,84,32
ebba,f,DANGELO,30,Adulte,54,34,47,71,92,83
ebbe,m,ZHOU,34,Adulte,99,85,59,30,30,59
eben,m,MOULTON,27,Adulte,51,57,55,88,65,64
ebenezer,m,HANNON,21,Adulte,34,74,57,86,32,56
eber,m,FALK,14,Junior,77,92,64,38,50,74
eberardo,m,RAINS,31,Adulte,41,33,54,62,34,47
eberhard,m,BROUGHTON,23,Adulte,80,37,78,95,72,38
ebert,m,APPLEGATE,29,Adulte,71,85,58,67,73,72
ebony,f,HUDGINS,22,Adulte,97,97,98,72,68,55
ebrahim,m,SLONE,30,Adulte,59,51,70,32,90,94
ecaterina,f,YOON,35,Adulte,38,62,35,58,72,45
ece,f,FARNSWORTH,20,Adulte,55,85,71,69,80,72
echo,f,PERALES,26,Adulte,88,87,54,55,66,78
eckbert,m,REEDY,28,Adulte,57,54,94,55,87,63
eckehard,m,MILAM,26,Adulte,76,81,32,79,94,55
eckhard,m,FRANZ,34,Adulte,99,64,61,50,96,51
ed,m,PONDER,15,Junior,61,94,94,74,65,69
edan,m,RICCI,32,Adulte,80,65,41,73,53,38
edana,f,FONTAINE,20,Adulte,48,91,88,72,63,47
edda,f,IRIZARRY,35,Adulte,40,75,91,37,86,96
eddie,m,PUENTE,31,Adulte,73,66,55,52,94,95
eddy,m,NEW,12,Junior,33,69,49,58,56,42
edelmira,f,SELBY,16,Junior,39,53,38,100,31,49
eden,f,CAZARES,10,Junior,96,95,92,83,82,44
edgar,m,DOUGHTY,35,Adulte,98,37,47,67,92,99
edgard,m,MOFFETT,32,Adulte,39,86,42,61,38,33
edgardo,m,BALDERAS,24,Adulte,90,69,56,64,31,48
edie,f,FINE,23,Adulte,61,49,66,51,81,66
edina,f,SMALLEY,31,Adulte,61,74,87,92,41,72
edison,m,CARLIN,23,Adulte,89,88,60,64,68,47
edit,f,TRINH,14,Junior,88,56,37,79,94,86
edita,f,DYSON,12,Junior,31,43,51,77,85,53
edite,f,GALVIN,12,Junior,77,76,55,42,36,68
édith,f,VALDIVIA,26,Adulte,61,63,55,76,59,99
edith,f,BENNER,18,Adulte,43,59,84,96,43,78
edmé,f,LOW,16,Junior,31,62,63,76,89,97
edmond,m,TURPIN,28,Adulte,87,88,100,59,90,31
edmonda,f,LYMAN,23,Adulte,93,40,86,70,54,30
edmondo,m,BILLINGSLEY,11,Junior,50,82,80,45,84,31
edmund,m,MCADAMS,34,Adulte,76,38,69,30,43,82
edmundo,m,CARDWELL,13,Junior,84,88,51,67,87,49
edna (1),f,FRALEY,24,Adulte,50,37,36,30,65,72
edna (2),f,PATTEN,30,Adulte,40,39,79,67,49,39
edoardo,m,HOLTON,26,Adulte,80,79,83,56,99,77
edom,m,SHANKS,27,Adulte,70,89,78,82,76,55
édouard,m,MCALISTER,22,Adulte,100,75,58,82,73,42
edric,m,CANFIELD,23,Adulte,37,77,92,78,41,100
edsel,m,SAMPLE,12,Junior,52,82,41,36,31,98
eduard,m,HARLEY,10,Junior,71,34,60,50,41,42
eduarda,f,CASON,23,Adulte,34,64,93,50,52,68
eduardo,m,TOMLIN,27,Adulte,73,68,52,72,85,32
edurne,f,AHMAD,25,Adulte,48,35,59,82,65,35
edvard,m,COYNE,13,Junior,66,59,52,62,61,75
edvige,f,FORTE,15,Junior,51,59,48,50,94,56
edward,m,RIGGINS,12,Junior,92,87,83,66,62,66
edweena,f,LITTLEJOHN,22,Adulte,94,94,69,65,61,72
edwena,f,FORSYTHE,25,Adulte,60,86,50,49,40,88
edwige,f,BRINSON,24,Adulte,38,80,63,81,62,88
edwin,m,HALVERSON,18,Adulte,68,34,97,38,44,74
edwina,f,BACH,11,Junior,100,94,94,93,61,63
edwyn,m,STUCKEY,33,Adulte,93,95,74,86,84,48
edwyna,f,FALCON,22,Adulte,47,90,89,81,39,60
edyta,f,WENZEL,12,Junior,70,38,86,84,87,48
edytha,f,TALBERT,26,Adulte,73,75,57,65,88,79
edythe,f,CHAMPAGNE,16,Junior,73,66,72,72,55,66
eerikki,m,MCHENRY,31,Adulte,71,84,39,43,59,70
eero,m,VEST,13,Junior,55,89,86,83,35,98
eetu,m,SHACKELFORD,15,Junior,46,50,74,77,61,41
eeva,f,ORDONEZ,33,Adulte,81,96,77,67,62,51
effie,f,COLLAZO,22,Adulte,73,95,59,94,54,48
efigênia,f,BOLAND,26,Adulte,35,90,58,69,67,44
efisio,m,SISSON,28,Adulte,77,63,52,76,80,35
efraim,m,BIGELOW,23,Adulte,86,80,91,99,89,90
efraín,m,WHARTON,13,Junior,39,74,71,55,51,73
efstathios,m,HYMAN,19,Adulte,60,86,53,63,100,49
efua,f,BRUMFIELD,13,Junior,77,75,64,98,35,71
egbert,m,OATES,18,Adulte,47,40,94,82,31,60
egidio,m,MESA,32,Adulte,37,34,73,45,99,47
egil,m,MORRELL,12,Junior,93,41,75,83,51,85
eglantine,f,BECKETT,17,Junior,61,41,72,46,82,89
egon,m,REIS,15,Junior,30,58,63,71,83,39
ehud,m,ALVES,14,Junior,48,46,58,40,70,81
éibhear,m,CHIU,11,Junior,83,89,95,99,56,33
éibhir,m,LARUE,29,Adulte,54,50,49,55,30,100
eibhlín,f,STREETER,28,Adulte,72,79,60,91,45,78
eideard,m,GROGAN,26,Adulte,54,76,73,42,91,57
eidel,f,BLAKELY,32,Adulte,88,69,77,61,53,83
eileen,f,BROTHERS,26,Adulte,93,81,87,68,63,45
eilert,m,HATTON,29,Adulte,36,90,50,36,60,33
eilidh,f,KIMBROUGH,32,Adulte,76,52,70,80,57,100
eilís,f,LAUER,10,Junior,48,55,52,86,31,30
eilish,f,WALLIS,33,Adulte,41,94,99,99,34,47
eiluned,f,JETT,19,Adulte,86,66,96,55,73,65
eilwen,f,PEPPER,23,Adulte,95,36,40,58,82,96
éimhín,m,HILDEBRAND,20,Adulte,59,45,88,74,87,47
eimhir,f,RAWLS,25,Adulte,93,50,84,61,31,87
einar,m,MELLO,23,Adulte,34,70,42,59,91,88
einion,m,NEVILLE,24,Adulte,89,68,31,88,32,52
einrí,m,BULL,10,Junior,64,95,37,44,37,79
eira,f,STEFFEN,29,Adulte,63,49,64,56,49,31
eiran,m,BRAXTON,34,Adulte,88,86,43,51,38,78
eireann,f,COWART,20,Adulte,87,58,62,46,62,66
eireen,f,SIMPKINS,30,Adulte,31,45,56,37,44,34
eirene,f,MCNEELY,22,Adulte,69,71,95,58,31,89
eirian,f,BLALOCK,33,Adulte,63,84,34,59,47,38
eirik,m,SPAIN,15,Junior,91,74,70,70,43,39
eirlys,f,SHIPP,24,Adulte,84,43,94,78,62,99
eirwen,f,LINDQUIST,24,Adulte,31,65,89,67,65,90
eitan,m,OREILLY,18,Adulte,38,63,93,33,81,47
eithne,f,BUTTERFIELD,24,Adulte,100,88,80,38,39,67
ekaterina,f,PERRIN,12,Junior,69,47,55,59,32,75
ekewaka,m,QUALLS,18,Adulte,52,88,69,77,73,63
ekin,f,EDGE,23,Adulte,36,79,68,41,40,56
ekkehardt,m,HAVENS,26,Adulte,80,57,49,41,79,33
ekua,f,LUONG,22,Adulte,80,60,98,86,92,78
ekwueme,m,SWITZER,24,Adulte,86,39,93,55,44,67
eladio,m,TROUTMAN,23,Adulte,31,99,48,30,69,58
elain,f,FORTNER,21,Adulte,87,64,66,54,85,88
elaine,f,TOLLIVER,25,Adulte,77,56,32,63,91,38
elario,m,MONK,13,Junior,90,68,56,64,57,79
elba,f,POINDEXTER,19,Adulte,97,66,46,51,62,49
elbert,m,RUPP,19,Adulte,62,96,88,52,92,95
elda,f,FERRY,29,Adulte,91,41,69,63,40,64
elder,m,NEGRETE,25,Adulte,100,98,44,92,89,60
eldon,m,MUSE,22,Adulte,44,85,88,74,68,68
eldred,m,GRESHAM,34,Adulte,67,61,67,56,34,72
eldreda,f,BEAUCHAMP,31,Adulte,48,60,97,47,48,54
elea,f,SCHMID,32,Adulte,75,75,59,84,38,79
eleanor,f,BARCLAY,14,Junior,31,87,33,65,66,88
eleanora,f,CHUN,24,Adulte,46,59,68,35,34,30
eleanore,f,BRICE,31,Adulte,42,73,43,30,90,35
eleazar,m,FAULK,19,Adulte,34,38,46,69,43,55
electra,f,WATTERS,21,Adulte,45,37,71,49,35,76
eleftheria,f,BRIONES,13,Junior,64,51,40,70,55,88
eleftherios,m,GUAJARDO,33,Adulte,48,84,76,90,84,88
elek,m,HARWOOD,17,Junior,62,95,37,95,44,92
elen,f,GRISSOM,23,Adulte,74,71,89,65,49,36
elena,f,HARLOW,32,Adulte,80,34,81,82,69,60
elene,f,WHELAN,32,Adulte,75,38,96,97,71,34
eleni,f,BURDETTE,32,Adulte,71,82,43,99,64,48
elenora,f,PALUMBO,17,Junior,95,65,94,48,37,68
eleonoora,f,PAULSEN,35,Adulte,50,43,34,82,53,44
eleonor,f,CORRIGAN,31,Adulte,74,76,94,84,50,70
eleonora,f,GARVEY,32,Adulte,58,78,45,86,40,85
eléonore,f,LEVESQUE,11,Junior,36,58,94,37,53,79
eleonore,f,DOCKERY,21,Adulte,51,85,84,80,97,97
eleri,f,DELGADILLO,20,Adulte,81,91,87,62,61,66
elettra,f,GOOCH,32,Adulte,92,98,30,83,86,72
eleuterio,m,CAO,11,Junior,33,46,68,45,73,46
eleutherius,m,MULLIN,28,Adulte,79,96,69,88,58,99
elfa,f,RIDLEY,19,Adulte,65,70,32,60,54,56
elfleda,f,STANFIELD,30,Adulte,52,74,89,47,85,67
elfreda,f,NORIEGA,31,Adulte,74,33,82,76,78,84
elfrida,f,DIAL,21,Adulte,62,55,37,70,55,46
elfriede,f,CEBALLOS,23,Adulte,61,65,31,62,93,97
eli,m,NUNES,17,Junior,70,52,73,82,47,99
elia,m,NEWBY,28,Adulte,76,60,71,46,87,70
elian,m,BAUMGARTNER,16,Junior,33,55,80,91,40,88
eliana,f,HUSSAIN,19,Adulte,38,78,84,89,40,48
éliane,f,WYMAN,14,Junior,83,61,59,40,70,93
elias,m,CAUSEY,27,Adulte,50,99,75,38,49,31
elicia,f,GOSSETT,34,Adulte,81,74,86,94,76,88
elidi,f,NESS,10,Junior,96,84,72,74,63,59
eliezer,m,WAUGH,12,Junior,84,41,53,63,60,45
eligia,f,CHOATE,17,Junior,39,91,88,95,85,80
eligio,m,CARMAN,10,Junior,54,96,40,38,74,34
elihu,m,DAILY,19,Adulte,36,48,73,42,65,98
eliina,f,KONG,14,Junior,76,69,77,35,84,80
eliisa,f,DEVORE,19,Adulte,32,81,68,70,87,56
elijah,m,IRBY,11,Junior,65,30,62,53,71,34
elikapeka,f,BREEDEN,12,Junior,69,84,59,92,83,31
elin,f,WHATLEY,20,Adulte,83,37,73,60,72,58
elina,f,ELLINGTON,33,Adulte,50,59,74,52,59,53
elinor,f,LAMAR,11,Junior,83,75,46,30,58,61
eliot,m,FULTZ,23,Adulte,92,58,89,37,39,81
eliott,m,BAIR,20,Adulte,91,43,69,94,34,98
eliphalet,m,ZIELINSKI,15,Junior,40,31,56,59,94,93
eliphelet,m,COLBY,10,Junior,94,59,94,91,56,60
elisa,f,HOUGHTON,26,Adulte,33,40,49,47,81,53
elisabet,f,GRIGSBY,19,Adulte,80,49,49,86,45,88
elisabeta,f,FORTUNE,34,Adulte,32,38,77,49,80,39
elisabeth,f,PAXTON,35,Adulte,52,35,95,78,87,50
elisabetta,f,MCMILLIAN,31,Adulte,71,83,77,53,88,66
elisavet,f,HAMMONS,18,Adulte,95,42,43,100,62,74
elisaveta,f,BRONSON,29,Adulte,92,73,73,74,37,75
élise,f,KECK,25,Adulte,79,94,71,94,57,85
elise,f,WELLMAN,13,Junior,87,74,95,45,62,78
eliseo,m,AYRES,24,Adulte,57,32,55,49,60,71
elisha,m,WHITESIDE,21,Adulte,92,69,66,82,74,63
elisheba,f,MENARD,32,Adulte,73,68,38,70,43,79
elisheva,f,ROUSH,27,Adulte,87,66,64,47,41,42
elissa (1),f,WARDEN,13,Junior,32,34,46,88,100,48
elissa (2),f,ESPINO,32,Adulte,34,53,82,63,48,32
elisud,m,STRAND,23,Adulte,74,45,74,58,45,39
elita,f,HAGGERTY,34,Adulte,41,52,89,48,47,95
eliud,m,BANDA,25,Adulte,64,86,81,40,81,57
eliyahu,m,KREBS,24,Adulte,86,66,65,91,54,78
eliza,f,FABIAN,25,Adulte,30,89,43,32,59,45
elizabeta,f,BOWIE,13,Junior,70,45,69,63,58,69
elizabeth,f,BRANSON,13,Junior,42,74,37,43,57,54
elizaveta,f,LENZ,34,Adulte,49,50,62,79,70,57
elkan,m,BENAVIDEZ,32,Adulte,51,30,47,49,35,65
elkanah,m,KEELER,22,Adulte,65,87,35,62,63,75
elke (1),f,NEWSOM,32,Adulte,32,31,52,79,78,68
elke (2),f,EZELL,34,Adulte,73,46,68,89,53,57
ella,f,JEFFREY,26,Adulte,65,100,53,72,32,85
ellar,m,PULLIAM,18,Adulte,33,62,95,76,59,54
elle,f,CLARY,32,Adulte,41,33,87,35,87,71
ellen,f,BYRNES,11,Junior,38,42,36,83,79,82
ellery,m,KOPP,34,Adulte,97,66,47,71,77,58
elli (1),f,BEERS,27,Adulte,79,66,63,44,73,44
elli (2),f,SMALLS,25,Adulte,80,42,95,94,85,43
ellie,f,SOMMERS,16,Junior,43,50,70,100,62,64
elliot,m,GARDINER,11,Junior,78,50,55,53,75,80
elliott,m,FENNELL,22,Adulte,84,78,43,63,94,62
ellis (1),m,MANCINI,16,Junior,35,76,36,98,38,70
ellis (2),m,OSULLIVAN,16,Junior,85,99,37,51,51,51
elly,f,SEBASTIAN,14,Junior,49,92,39,60,78,57
elma,f,BRUNS,27,Adulte,79,76,74,85,71,69
elmas,f,GIRON,18,Adulte,53,80,69,34,66,34
elmer,m,PARENT,24,Adulte,41,50,55,96,88,73
elmira,f,BOYLES,13,Junior,54,49,84,67,30,68
elmo,m,KEEFE,28,Adulte,66,75,48,79,81,73
elnathan,m,MUIR,18,Adulte,61,79,55,74,63,51
elnora,f,WHEAT,24,Adulte,51,66,56,100,67,37
elodia,f,VERGARA,29,Adulte,49,31,92,61,30,32
élodie,f,SHULER,14,Junior,86,33,57,30,86,59
elof,m,PEMBERTON,18,Adulte,30,84,72,73,67,32
eloi,m,SOUTH,22,Adulte,60,78,57,78,33,98
eloisa,f,BROWNLEE,12,Junior,68,50,56,36,60,96
éloise,f,BROCKMAN,15,Junior,63,56,80,32,82,95
eloise,f,ROYER,11,Junior,73,54,42,83,36,67
elouise,f,FANNING,23,Adulte,65,34,45,70,86,40
elov,m,HERZOG,34,Adulte,60,97,50,59,96,95
eloy,m,MORLEY,25,Adulte,92,33,54,34,84,47
elpida,f,BETHEA,25,Adulte,35,82,59,40,73,83
elpidio,m,TONG,28,Adulte,52,87,72,67,38,89
elpidius,m,NEEDHAM,33,Adulte,30,32,48,78,58,45
elpis,f,ROQUE,29,Adulte,86,81,66,90,72,70
elric,m,MOJICA,29,Adulte,66,56,83,76,82,75
elrond,m,BUNN,19,Adulte,83,73,49,65,89,89
elroy,m,FRANCOIS,11,Junior,57,81,62,89,87,94
elsa,f,NOE,14,Junior,59,95,30,54,92,30
elsabeth,f,KUNTZ,11,Junior,95,63,67,75,57,50
elsdon,m,SNOWDEN,28,Adulte,37,39,36,44,97,96
else,f,WITHERS,13,Junior,46,89,69,47,39,63
elsie,f,HARLAN,31,Adulte,35,57,65,48,97,90
elspet,f,SEIBERT,27,Adulte,33,63,91,34,68,39
elspeth,f,LIMON,18,Adulte,49,69,62,59,76,80
elton,m,KIEFER,10,Junior,96,98,40,96,54,77
eluf,m,BONE,30,Adulte,38,80,33,86,43,68
eluned,f,SELL,33,Adulte,93,30,65,50,68,47
elva,f,ALLAN,13,Junior,30,37,48,80,95,33
elvin,m,SKIDMORE,17,Junior,48,31,53,53,89,34
elvina,f,WREN,17,Junior,70,71,40,82,38,82
elvira,f,DUNAWAY,35,Adulte,70,65,100,94,53,76
elvis,m,FINNEGAN,12,Junior,82,41,95,57,94,92
elwin,m,MOE,19,Adulte,65,67,49,72,64,97
elwood,m,WOLFORD,29,Adulte,76,94,53,85,60,87
elwyn,m,SEELEY,31,Adulte,48,67,86,61,81,84
ely,m,KROLL,29,Adulte,42,31,53,92,89,52
elyse,f,LIVELY,19,Adulte,71,46,77,79,92,57
elysia,f,JANSSEN,27,Adulte,66,68,89,96,92,57
elzbieta,f,MONTAGUE,35,Adulte,49,44,78,72,83,70
em,f,RAHMAN,14,Junior,48,50,96,39,89,40
emánuel,m,BOEHM,31,Adulte,76,71,77,40,48,56
